model,brand,line,capacity_tb,rpm,cache_mb,interface,form_factor,recording_tech,acoustic_idle_db,acoustic_seek_db,is_helium,drive_class,media_type,nand_type,tbw_tb,dwpd,has_dram,has_plp,sustained_write_mbps,in_production,also_sold_as,afr_pct,reliability_drive_count,reliability_drive_days,reliability_failures,reliability_source
SNV3S/4000G,Kingston,NV3,4,,,NVMe,M.2,,,,,Desktop,ssd,TLC,1280,,0,0,,1,,,,,,
LNM790X004T-RNNNU,Lexar,NM790,4,,,NVMe,M.2,,,,,Desktop,ssd,TLC,3000,,0,0,,1,,,,,,
SB-RKT4P-4TB,Sabrent,"Rocket 4 Plus",4,,,NVMe,M.2,,,,,Desktop,ssd,TLC,3000,,1,0,,1,,,,,,
SB-RKT5-4TB,Sabrent,"Rocket 5",4,,,NVMe,M.2,,,,,Desktop,ssd,TLC,3000,,1,0,,1,,,,,,
MZ-77Q4T0,Samsung,"870 QVO",4,,,SATA,2.5,,,,,Desktop,ssd,QLC,1440,,1,0,160,1,,,,,,
MZ-V9P4T0,Samsung,"990 PRO",4,,,NVMe,M.2,,,,,Desktop,ssd,TLC,2400,,1,0,,1,,,,,,
MZ-V9S4T0BW,Samsung,"990 EVO Plus",4,,,NVMe,M.2,,,,,Desktop,ssd,TLC,2400,,0,0,,1,,,,,,
MZ-VAP4T0BW,Samsung,"9100 PRO",4,,,NVMe,M.2,,,,,Desktop,ssd,TLC,2400,,1,0,,1,,,,,,
ST4000DM004,Seagate,BarraCuda,4,5400,256,SATA,3.5,smr,22,24,0,Desktop,hdd,,,,,,,1,,,,,,
ST4000NT001,Seagate,"IronWolf Pro",4,7200,256,SATA,3.5,cmr,28,32,0,NAS-Pro,hdd,,,,,,,1,,,,,,
ST4000VN006,Seagate,IronWolf,4,5400,256,SATA,3.5,cmr,,,0,NAS,hdd,,,,,,,1,,,,,,
ST4000VX016,Seagate,SkyHawk,4,5900,256,SATA,3.5,cmr,26,27,0,Surveillance,hdd,,,,,,,1,,,,,,
ZA4000NM1A002,Seagate,"IronWolf 125",4,,,SATA,2.5,,,,,NAS,ssd,TLC,5600,0.7,1,0,,1,,,,,,
ZP4000GM3A063,Seagate,"FireCuda 530R",4,,,NVMe,M.2,,,,,Desktop,ssd,TLC,5050,,1,0,,1,,,,,,
HAT3300-4T,Synology,"Plus Series",4,5400,256,SATA,3.5,cmr,23,27,0,NAS,hdd,,,,,,,1,,,,,,
HAT5320-4T,Synology,"Enterprise Series",4,7200,512,SATA,3.5,cmr,,,0,Enterprise,hdd,,,,,,,1,,,,,,
DT02ABA400,Toshiba,DT02,4,5400,128,SATA,3.5,smr,,,0,Desktop,hdd,,,,,,,1,DT02ABA400V,,,,,
HDWD240,Toshiba,P300,4,5400,128,SATA,3.5,smr,22,,0,Desktop,hdd,,,,,,,1,HDWD240EZSTA;HDWD240UZSVA,,,,,
HDWG440,Toshiba,N300,4,7200,256,SATA,3.5,cmr,20,,0,NAS,hdd,,,,,,,1,HDWG440AZSTA;HDWG440EZSTA;HDWG440UZSVA,,,,,
HDWR440,Toshiba,X300,4,7200,256,SATA,3.5,cmr,20,,0,Desktop,hdd,,,,,,,1,HDWR440EZSTA;HDWR440UZSVA;HDWR440XZSTA,,,,,
HMS5C4040BLE640,WD,"MegaScale DC 4000.B",4,5700,64,SATA,3.5,cmr,,,0,Enterprise,hdd,,,,,,,0,,0.47,186,391135,5,"Backblaze thru Q1 2026"
WD4004FRYZ,WD,Gold,4,7200,256,SATA,3.5,cmr,20,32,0,Enterprise,hdd,,,,,,,1,,,,,,
WD4005FFBX,WD,"Red Pro",4,7200,256,SATA,3.5,cmr,20,36,0,NAS-Pro,hdd,,,,,,,1,,,,,,
